"","OCC_CODE","OCC_TITLE","max_State","max_Wage","min_State","min_Wage","max_adj_State","max_adj_Wage","min_adj_State","min_adj_Wage"
"553","47-5049","Mining Machine Operators, All Other","California",59190,"Texas",32960,"New Mexico",57840.37,"Texas",34120.192
"554","47-5071","Roustabouts, Oil and Gas","Alaska",52330,"Kentucky",29270,"Montana",50691.4,"Illinois",31090.83
"555","47-5081","Helpers--Extraction Workers","Alaska",55450,"South Dakota",26490,"Alabama",60890.94,"New York",25514.136
"556","47-5099","Extraction Workers, All Other","Pennsylvania",66350,"Georgia",28630,"Pennsylvania",67564.205,"California",27055.777
"557","49-0000","Installation, Maintenance, and Repair Occupations","Alaska",57350,"West Virginia",35380,"Alaska",54258.835,"Florida",38002.706
"558","49-1011","First-Line Supervisors of Mechanics, Installers, and Repairers","Alaska",84690,"West Virginia",50170,"Alaska",80125.209,"West Virginia",56436.233
"559","49-2011","Computer, Automated Teller, and Office Machine Repairers","District of Columbia",53500,"Hawaii",30250,"Rhode Island",46890.896,"Hawaii",25900.05
"560","49-2021","Radio, Cellular, and Tower Equipment Installers and Repairers","New York",72990,"Idaho",36050,"Mississippi",80380.446,"Maine",37622.247
"561","49-2022","Telecommunications Equipment Installers and Repairers, Except Line Installers","Alaska",72770,"Oklahoma",42490,"North Dakota",74393.703,"Texas",46542.592
"562","49-2091","Avionics Technicians","Washington",81150,"Indiana",48340,"Washington",78179.91,"New Jersey",48499.902
"563","49-2092","Electric Motor, Power Tool, and Related Repairers","Connecticut",55040,"Utah",24720,"New Hampshire",52302.012,"Utah",25483.848
"564","49-2093","Electrical and Electronics Installers and Repairers, Transportation Equipment","Montana",83000,"South Dakota",29960,"Montana",88112.8,"South Dakota",34046.544
"565","49-2094","Electrical and Electronics Repairers, Commercial and Industrial Equipment","District of Columbia",82560,"South Dakota",44520,"Alaska",76993.618,"New York",46862.346
"566","49-2095","Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","Washington",92790,"Texas",56050,"North Dakota",95552.247,"Texas",58022.96
"567","49-2096","Electronic Equipment Installers and Repairers, Motor Vehicles","Washington",51440,"Hawaii",24730,"Washington",49557.296,"Hawaii",21173.826
"568","49-2097","Electronic Home Entertainment Equipment Installers and Repairers","Alaska",50820,"Arkansas",26750,"Illinois",49669.86,"Arkansas",30572.575
"569","49-2098","Security and Fire Alarm Systems Installers","Alaska",57210,"Mississippi",29690,"South Dakota",60717.852,"Mississippi",34244.446
"570","49-3011","Aircraft Mechanics and Service Technicians","Kentucky",92500,"Maine",47260,"Kentucky",104284.5,"Maine",48673.074
"571","49-3021","Automotive Body and Related Repairers","District of Columbia",63170,"Arkansas",33200,"Maryland",53833.908,"New York",33085.404
"572","49-3022","Automotive Glass Installers and Repairers","New Hampshire",43460,"New York",20250,"South Dakota",44035.5,"New York",17502.075
"573","49-3023","Automotive Service Technicians and Mechanics","District of Columbia",57360,"West Virginia",29510,"Alaska",48941.753,"New York",31408.662
"574","49-3031","Bus and Truck Mechanics and Diesel Engine Specialists","Alaska",62190,"Mississippi",35140,"Alaska",58837.959,"West Virginia",40102.685
"575","49-3041","Farm Equipment Mechanics and Service Technicians","North Dakota",47030,"West Virginia",24270,"North Dakota",51399.087,"West Virginia",27301.323
"576","49-3042","Mobile Heavy Equipment Mechanics, Except Engines","District of Columbia",67770,"Arkansas",38320,"Nevada",65544.94,"Vermont",42112.822
"577","49-3043","Rail Car Repairers","Maryland",65020,"South Carolina",37040,"Arkansas",68231.13,"South Carolina",40929.2
"578","49-3051","Motorboat Mechanics and Service Technicians","Connecticut",49460,"Illinois",28440,"Rhode Island",46414.692,"Illinois",28240.92
"579","49-3052","Motorcycle Mechanics","Hawaii",48760,"New Mexico",24920,"Alaska",43369.224,"New Mexico",26230.792
"580","49-3053","Outdoor Power Equipment and Other Small Engine Mechanics","Alaska",52790,"West Virginia",25570,"Alaska",49944.619,"Utah",27813.682
"581","49-3091","Bicycle Repairers","Wyoming",34150,"Tennessee",18710,"Wyoming",35498.925,"Tennessee",20741.906
"582","49-3092","Recreational Vehicle Service Technicians","Alabama",43250,"Mississippi",22310,"Alabama",49261.75,"Mississippi",25732.354
"583","49-3093","Tire Repairers and Changers","Rhode Island",33380,"Florida",19170,"Rhode Island",33820.616,"Florida",19344.447
"584","49-9011","Mechanical Door Repairers","Illinois",48670,"Arkansas",27370,"Illinois",48329.31,"Oklahoma",31221.487
"585","49-9012","Control and Valve Installers and Repairers, Except Mechanical Door","New York",80560,"Mississippi",32780,"South Dakota",79673.004,"Mississippi",37808.452
"586","49-9021","Heating, Air Conditioning, and Refrigeration Mechanics and Installers","District of Columbia",66120,"Mississippi",33420,"Alaska",60815.308,"Florida",37992.615
"587","49-9031","Home Appliance Repairers","Hawaii",55910,"West Virginia",24930,"Illinois",52708.44,"West Virginia",28043.757
"588","49-9041","Industrial Machinery Mechanics","Alaska",70150,"West Virginia",42450,"Alaska",66368.915,"New York",44442.306
"589","49-9043","Maintenance Workers, Machinery","Wyoming",58770,"South Dakota",29150,"Wyoming",61091.415,"Hawaii",32586.972
"590","49-9044","Millwrights","Alaska",69230,"Arkansas",39840,"Kansas",71761.725,"Florida",44915.041
"591","49-9045","Refractory Materials Repairers, Except Brickmasons","North Carolina",52830,"Oklahoma",41090,"North Carolina",57611.115,"New York",39507.153
"592","49-9051","Electrical Power-Line Installers and Repairers","California",104490,"Georgia",47090,"California",92964.753,"Georgia",51186.83
"593","49-9052","Telecommunications Line Installers and Repairers","New York",78070,"Alabama",36230,"West Virginia",80452.848,"District of Columbia",38067.632
"594","49-9062","Medical Equipment Repairers","Alaska",64340,"Arkansas",33700,"Alaska",60872.074,"Arizona",37176.832
"595","49-9063","Musical Instrument Repairers and Tuners","Pennsylvania",43490,"Iowa",25380,"Pennsylvania",44285.867,"Iowa",28105.812
"596","49-9064","Watch Repairers","Texas",56660,"Arizona",25050,"Texas",58654.432,"Florida",25298.137
"597","49-9069","Precision Instrument and Equipment Repairers, All Other","Wyoming",71250,"Louisiana",28750,"Wyoming",74064.375,"Louisiana",31455.375
"598","49-9071","Maintenance and Repair Workers, General","Alaska",48040,"West Virginia",27770,"Alaska",45450.644,"West Virginia",31238.473
"599","49-9091","Coin, Vending, and Amusement Machine Servicers and Repairers","Nevada",41710,"Florida",25410,"Nevada",42690.185,"Florida",25641.231
"600","49-9092","Commercial Divers","New York",88550,"Hawaii",37600,"New York",76533.765,"Hawaii",32193.12
"601","49-9094","Locksmiths and Safe Repairers","District of Columbia",59680,"Mississippi",19390,"District of Columbia",50531.056,"Mississippi",22364.426
"602","49-9095","Manufactured Building and Mobile Home Installers","New Mexico",42760,"California",23200,"New Mexico",45009.176,"California",20641.04
"603","49-9096","Riggers","Hawaii",70330,"Arkansas",25420,"Minnesota",63156.344,"Arkansas",29052.518
"604","49-9098","Helpers--Installation, Maintenance, and Repair Workers","District of Columbia",38700,"South Dakota",19080,"North Dakota",35497.392,"South Dakota",21682.512
"605","49-9099","Installation, Maintenance, and Repair Workers, All Other","Alaska",67500,"District of Columbia",30730,"Alaska",63861.75,"District of Columbia",26019.091
